geoid,state_fips,state,name_county,name.x,population,median_income,median_home_value,median_age,vacancy_rate,longitude,latitude,climate_val,climate_flag,growing_val,growing_flag,type,type_name,clean_name
0103076,01,AL,Lee,"Auburn city, Alabama",78738,56123,342400,25.6,0.14672339932847053,-85.49074851901734,32.60909017132595,0.39649534184023616,FALSE,47.502412068359284,TRUE,risk,City at Risk,Auburn
0107000,01,AL,Jefferson,"Birmingham city, Alabama",199322,44376,138600,35.9,0.18710228368364507,-86.79706868269176,33.52786314086248,0.454726873646921,FALSE,-3.5293041117579205,FALSE,origin,Origin City,Birmingham
0120104,01,AL,Morgan,"Decatur city, Alabama",57760,59831,190500,40.4,0.06883916738130506,-86.99028047932396,34.57305078197015,0.4952636543375888,FALSE,3.232283793423816,TRUE,risk,City at Risk,Decatur
0121184,01,AL,Houston,"Dothan city, Alabama",71118,55052,186600,40.4,0.13651663638259212,-85.4069775810914,31.23352698579029,0.4086350788668819,FALSE,7.395838855248979,TRUE,risk,City at Risk,Dothan
0135896,01,AL,Jefferson,"Hoover city, Alabama",92401,107822,391300,38.3,0.06699923254029164,-86.80838981951094,33.37630206815632,0.454726873646921,FALSE,15.121095183917276,TRUE,risk,City at Risk,Hoover
0137000,01,AL,Madison,"Huntsville city, Alabama",218814,70778,263100,36.4,0.08318387398627573,-86.64382000767611,34.697984838416595,0.47034115354857264,FALSE,23.781062148499235,TRUE,risk,City at Risk,Huntsville
0145784,01,AL,Madison,"Madison city, Alabama",58335,131436,367900,37.9,0.03173483779971791,-86.76298293182255,34.71125710907347,0.47034115354857264,FALSE,35.00668962344378,TRUE,risk,City at Risk,Madison
0150000,01,AL,Mobile,"Mobile city, Alabama",185097,51090,170300,37.7,0.14499030238913868,-88.11624982955148,30.678227839218067,0.609479020512535,FALSE,-2.8734302556456432,FALSE,origin,Origin City,Mobile
0151000,01,AL,Montgomery,"Montgomery city, Alabama",198440,55687,148500,36.2,0.14462015569739903,-86.26676591406748,32.348167473117336,0.40814305796578243,FALSE,-3.713159974328633,FALSE,origin,Origin City,Montgomery
0177256,01,AL,Tuscaloosa,"Tuscaloosa city, Alabama",107699,48536,236600,28.2,0.21493446881653222,-87.52680847728628,33.23469669171722,0.44434742425666485,FALSE,21.405172032208615,TRUE,risk,City at Risk,Tuscaloosa
0203000,02,AK,Anchorage,"Anchorage municipality, Alaska",289069,98152,375900,34.9,0.09897508290384824,-149.10734117809238,61.14953177989543,0.3025540882250872,TRUE,-1.667486060172546,FALSE,opportunity,Opportunity City,Anchorage
0404720,04,AZ,Maricopa,"Avondale city, Arizona",90644,81260,348700,32.4,0.047260696097829964,-112.32315419315056,33.38760372536879,0.22277148674561648,FALSE,23.500059508741288,TRUE,risk,City at Risk,Avondale
0407940,04,AZ,Maricopa,"Buckeye city, Arizona",99844,98778,384100,35.4,0.08018421935523226,-112.64220587661482,33.43115658557454,0.22277148674561648,FALSE,105.24633612830384,TRUE,risk,City at Risk,Buckeye
0410530,04,AZ,Pinal,"Casa Grande city, Arizona",57590,66354,258200,37.8,0.14273947780248744,-111.763496368272,32.90692818869069,0.4049930686700319,FALSE,23.085204521041703,TRUE,risk,City at Risk,Casa Grande
0410670,04,AZ,Pima,"Casas Adobes CDP, Arizona",70770,81041,311100,43.8,0.0662980068060282,-111.01158703534959,32.34227876187492,0.4207868509945964,FALSE,3.221104271592825,TRUE,risk,City at Risk,Casas Adobes
0411230,04,AZ,Pima,"Catalina Foothills CDP, Arizona",51756,113201,604100,55.9,0.13112334881042365,-110.8837713693247,32.30461116137827,0.4207868509945964,FALSE,-0.24758751314618366,FALSE,origin,Origin City,Catalina Foothills
0412000,04,AZ,Maricopa,"Chandler city, Arizona",278123,103691,469800,37.4,0.05004307095940562,-111.851161609268,33.282222213936144,0.22277148674561648,FALSE,18.833810755417993,TRUE,risk,City at Risk,Chandler
0423620,04,AZ,Coconino,"Flagstaff city, Arizona",76333,68041,503400,26,0.11603000063560669,-111.61946541132718,35.18722970024327,0.5502217327740268,FALSE,14.818094604207163,TRUE,risk,City at Risk,Flagstaff
0427400,04,AZ,Maricopa,"Gilbert town, Arizona",271118,121351,518600,35.7,0.03443774149058253,-111.74621112261053,33.30999031836154,0.22277148674561648,FALSE,31.429505878651355,TRUE,risk,City at Risk,Gilbert
0427820,04,AZ,Maricopa,"Glendale city, Arizona",250193,70139,347000,34.5,0.05567955404095942,-112.24537948885414,33.57569084113964,0.22277148674561648,FALSE,10.987362937812435,TRUE,risk,City at Risk,Glendale
0428380,04,AZ,Maricopa,"Goodyear city, Arizona",102891,101814,441900,40.8,0.09132628483050632,-112.36199250324866,33.26118151147328,0.22277148674561648,FALSE,60.68529635935303,TRUE,risk,City at Risk,Goodyear
0439370,04,AZ,Mohave,"Lake Havasu City city, Arizona",58037,66264,411500,55.7,0.21927239757465858,-114.31129255537277,34.50056957037024,0.3353448189479403,TRUE,10.648661557598661,TRUE,destination,Destination City,Lake Havasu City
0444270,04,AZ,Pima,"Marana town, Arizona",54487,108256,380100,41.5,0.06670243204577969,-111.15585993698848,32.43552489287504,0.4207868509945964,FALSE,57.29943610128434,TRUE,risk,City at Risk,Marana
0444410,04,AZ,Pinal,"Maricopa city, Arizona",62986,94208,338600,36.1,0.09863961053733108,-112.00104614479301,33.04081820588377,0.4049930686700319,FALSE,52.806246626068464,TRUE,risk,City at Risk,Maricopa
0446000,04,AZ,Maricopa,"Mesa city, Arizona",507478,78779,364300,37.2,0.1133456036973893,-111.71642148899855,33.400216193753614,0.22277148674561648,FALSE,18.004775022918235,TRUE,risk,City at Risk,Mesa
0454050,04,AZ,Maricopa,"Peoria city, Arizona",194338,93403,429400,42.1,0.06905282980456026,-112.29872708017541,33.78362948778101,0.22277148674561648,FALSE,25.866858528055552,TRUE,risk,City at Risk,Peoria
0455000,04,AZ,Maricopa,"Phoenix city, Arizona",1624832,77041,381900,34.8,0.06450789976775911,-112.08921322514949,33.571834626911546,0.22277148674561648,FALSE,15.277972871432073,TRUE,risk,City at Risk,Phoenix
0458150,04,AZ,Maricopa,"Queen Creek town, Arizona",66369,134719,576600,37.2,0.04819554409869269,-111.6167665314678,33.24471550624141,0.22277148674561648,FALSE,160.8749129498598,TRUE,risk,City at Risk,Queen Creek
0464210,04,AZ,Pinal,"San Tan Valley CDP, Arizona",105231,93642,365900,35,0.07517660317198538,-111.56282450013875,33.17856142044889,0.4049930686700319,FALSE,43.27950003745723,TRUE,risk,City at Risk,San Tan Valley
0465000,04,AZ,Maricopa,"Scottsdale city, Arizona",242169,107372,709900,49.2,0.14907312421435898,-111.86509028811854,33.687062585196664,0.22277148674561648,FALSE,11.183132462833193,TRUE,risk,City at Risk,Scottsdale
0471510,04,AZ,Maricopa,"Surprise city, Arizona",149519,93371,396000,41.6,0.09798528729538074,-112.45133611616522,33.68154182897671,0.22277148674561648,FALSE,36.11193558216979,TRUE,risk,City at Risk,Surprise
0473000,04,AZ,Maricopa,"Tempe city, Arizona",186419,77643,421900,29.9,0.0898965321742417,-111.93189475828723,33.3880902921796,0.22277148674561648,FALSE,16.68443213051663,TRUE,risk,City at Risk,Tempe
0477000,04,AZ,Pima,"Tucson city, Arizona",543348,54546,242200,34.6,0.08436925429961438,-110.87875730549132,32.1538878829167,0.4207868509945964,FALSE,6.7035832417397385,TRUE,risk,City at Risk,Tucson
0485540,04,AZ,Yuma,"Yuma city, Arizona",98461,62546,209100,32.1,0.13458414369065325,-114.54915288466542,32.59969243202296,0.20076354889765616,FALSE,6.95506768782452,TRUE,risk,City at Risk,Yuma
0505320,05,AR,Benton,"Bentonville city, Arkansas",56326,108465,370700,31.9,0.09305841347163314,-94.23165830951069,36.352423362661284,0.3951118318336648,FALSE,63.402312496319325,TRUE,risk,City at Risk,Bentonville
0515190,05,AR,Faulkner,"Conway city, Arkansas",66288,58461,234600,29.6,0.06600244712462856,-92.4690306526748,35.07501044052717,0.42714587308233537,FALSE,11.38308569673868,TRUE,risk,City at Risk,Conway
0523290,05,AR,Washington,"Fayetteville city, Arkansas",97227,59074,322500,28.7,0.08304600308501951,-94.16626294269773,36.07155790871062,0.4376659114941844,FALSE,31.282400783942794,TRUE,risk,City at Risk,Fayetteville
0524550,05,AR,Sebastian,"Fort Smith city, Arkansas",89496,52692,168100,36.6,0.0913166940666567,-94.36948145695727,35.349400086189355,0.3898119186122796,TRUE,4.954090026115011,TRUE,destination,Destination City,Fort Smith
0535710,05,AR,Craighead,"Jonesboro city, Arkansas",79187,52559,213400,33.7,0.09407624633431085,-90.679081429825,35.8212107024501,0.45180657982256667,FALSE,17.150125333274495,TRUE,risk,City at Risk,Jonesboro
0541000,05,AR,Pulaski,"Little Rock city, Arkansas",202739,60583,221200,36.4,0.1288303559786152,-92.35787426027164,34.72566086023317,0.39078882236144163,TRUE,4.121480368371008,TRUE,destination,Destination City,Little Rock
0550450,05,AR,Pulaski,"North Little Rock city, Arkansas",64504,51236,169500,36.7,0.10529296060082255,-92.23540427921374,34.78064996303021,0.39078882236144163,TRUE,5.517456852874024,TRUE,destination,Destination City,North Little Rock
0560410,05,AR,Benton,"Rogers city, Arkansas",71411,82993,278000,34.1,0.07913616928762954,-94.15310217031774,36.3169760223526,0.3951118318336648,FALSE,29.959524441545593,TRUE,risk,City at Risk,Rogers
0566080,05,AR,Washington,"Springdale city, Arkansas",87388,66044,237200,32.5,0.055893426006371275,-94.15560668347572,36.191173538708966,0.4376659114941844,FALSE,27.553616595319117,TRUE,risk,City at Risk,Springdale
0600562,06,CA,Alameda,"Alameda city, California",76876,132015,1203900,40.7,0.07217778331102742,-122.26630151402208,37.76657937125478,0.3517389118677574,FALSE,3.882040195045999,TRUE,risk,City at Risk,Alameda
0600884,06,CA,Los Angeles,"Alhambra city, California",81483,85189,812700,41.9,0.06342981637099285,-118.13549408244481,34.08397871077838,0.23716956704900946,FALSE,-1.796475087585926,FALSE,origin,Origin City,Alhambra
0600947,06,CA,Orange,"Aliso Viejo city, California",51320,137970,863800,38.6,0.046588119783996074,-117.72891685828371,33.579232865499144,0.3948943864941562,FALSE,7.3122036709108436,TRUE,risk,City at Risk,Aliso Viejo
0602000,06,CA,Orange,"Anaheim city, California",344553,90583,771700,35.9,0.0404341754475054,-117.85749363656895,33.838994937018505,0.3948943864941562,FALSE,5.371326654947712,TRUE,risk,City at Risk,Anaheim
